Cell,Foci,Drug,Time
mu2,1,ETP +,6
mu2,3,ETP +,6
mu2,5,ETP +,6
mu2,4,ETP +,6
mu3-1,4,ETP -,0
mu3-1,11,ETP -,0
mu3-1,4,ETP -,0
mu3-1,1,ETP -,0
mu3-1,3,ETP -,0
mu3-1,3,ETP -,0
mu3-1,1,ETP -,0
mu3-1,3,ETP -,0
mu3-1,1,ETP -,0
mu3-1,2,ETP -,0
mu3-1,0,ETP -,0
mu3-1,5,ETP -,0
mu3-1,0,ETP -,0
mu3-1,0,ETP -,0
mu3-1,7,ETP -,0
mu3-1,4,ETP -,0
mu3-1,1,ETP -,0
mu3-1,5,ETP -,0
mu3-1,1,ETP -,0
mu3-1,3,ETP -,0
mu3-1,2,ETP -,0
mu3-1,0,ETP -,0
mu3-1,1,ETP -,0
mu3-1,0,ETP -,0
mu3-1,1,ETP -,0
mu3-1,2,ETP -,0
mu3-1,1,ETP -,0
mu3-1,1,ETP -,0
mu3-1,2,ETP -,0
mu3-1,0,ETP -,0
mu3-1,1,ETP -,0
mu3-1,0,ETP -,0
mu3-1,1,ETP -,0
mu3-1,2,ETP -,0
mu3-1,0,ETP -,0
mu3-1,0,ETP -,0
mu3-1,0,ETP -,0
mu3-1,0,ETP -,0
mu3-1,2,ETP -,0
mu3-1,0,ETP -,0
mu3-1,0,ETP -,0
mu3-1,1,ETP -,0
mu3-1,1,ETP -,0
mu3-1,0,ETP -,0
mu3-1,1,ETP -,0
mu3-1,1,ETP -,0
mu3-1,3,ETP -,0
mu3-1,5,ETP -,0
mu3-1,4,ETP -,0
mu3-1,4,ETP +,0.1
mu3-1,11,ETP +,0.1
mu3-1,4,ETP +,0.1
mu3-1,1,ETP +,0.1
mu3-1,3,ETP +,0.1
mu3-1,3,ETP +,0.1
mu3-1,1,ETP +,0.1
mu3-1,3,ETP +,0.1
mu3-1,1,ETP +,0.1
mu3-1,2,ETP +,0.1
mu3-1,0,ETP +,0.1
mu3-1,5,ETP +,0.1
mu3-1,0,ETP +,0.1
mu3-1,0,ETP +,0.1
mu3-1,7,ETP +,0.1
mu3-1,4,ETP +,0.1
mu3-1,1,ETP +,0.1
mu3-1,5,ETP +,0.1
mu3-1,1,ETP +,0.1
mu3-1,3,ETP +,0.1
mu3-1,2,ETP +,0.1
mu3-1,0,ETP +,0.1
mu3-1,1,ETP +,0.1
mu3-1,0,ETP +,0.1
mu3-1,1,ETP +,0.1
mu3-1,2,ETP +,0.1
mu3-1,1,ETP +,0.1
mu3-1,1,ETP +,0.1
mu3-1,2,ETP +,0.1
mu3-1,0,ETP +,0.1
mu3-1,1,ETP +,0.1
mu3-1,0,ETP +,0.1
mu3-1,1,ETP +,0.1
mu3-1,2,ETP +,0.1
mu3-1,0,ETP +,0.1
mu3-1,0,ETP +,0.1
mu3-1,0,ETP +,0.1
mu3-1,0,ETP +,0.1
mu3-1,2,ETP +,0.1
mu3-1,0,ETP +,0.1
mu3-1,0,ETP +,0.1
mu3-1,1,ETP +,0.1
mu3-1,1,ETP +,0.1
mu3-1,0,ETP +,0.1
mu3-1,1,ETP +,0.1
mu3-1,1,ETP +,0.1
mu3-1,3,ETP +,0.1
mu3-1,5,ETP +,0.1
mu3-1,4,ETP +,0.1
mu3-1,3,ETP +,2
mu3-1,2,ETP +,2
mu3-1,4,ETP +,2
mu3-1,5,ETP +,2
mu3-1,0,ETP +,2
mu3-1,2,ETP +,2
mu3-1,5,ETP +,2
mu3-1,7,ETP +,2
mu3-1,3,ETP +,2
mu3-1,8,ETP +,2
mu3-1,15,ETP +,2
mu3-1,20,ETP +,2
mu3-1,7,ETP +,2
mu3-1,18,ETP +,2
mu3-1,4,ETP +,2
mu3-1,5,ETP +,2
mu3-1,9,ETP +,2
mu3-1,12,ETP +,2
mu3-1,1,ETP +,2
mu3-1,10,ETP +,2
mu3-1,5,ETP +,2
mu3-1,5,ETP +,2
mu3-1,12,ETP +,2
mu3-1,5,ETP +,2
mu3-1,6,ETP +,2
mu3-1,11,ETP +,2
mu3-1,6,ETP +,2
mu3-1,9,ETP +,2
mu3-1,8,ETP +,2
mu3-1,1,ETP +,2
mu3-1,5,ETP +,2
mu3-1,5,ETP +,2
mu3-1,2,ETP +,2
mu3-1,11,ETP +,2
mu3-1,7,ETP +,2
mu3-1,6,ETP +,2
mu3-1,5,ETP +,2
mu3-1,10,ETP +,2
mu3-1,12,ETP +,2
mu3-1,7,ETP +,2
mu3-1,8,ETP +,2
mu3-1,2,ETP +,2
mu3-1,7,ETP +,2
mu3-1,15,ETP +,2
mu3-1,4,ETP +,2
mu3-1,9,ETP +,2
mu3-1,6,ETP +,2
mu3-1,4,ETP +,2
mu3-1,8,ETP +,2
mu3-1,4,ETP +,6
mu3-1,3,ETP +,6
mu3-1,1,ETP +,6
mu3-1,2,ETP +,6
mu3-1,0,ETP +,6
mu3-1,3,ETP +,6
mu3-1,2,ETP +,6
mu3-1,4,ETP +,6
mu3-1,0,ETP +,6
mu3-1,0,ETP +,6
mu3-1,5,ETP +,6
mu3-1,1,ETP +,6
mu3-1,0,ETP +,6
mu3-1,3,ETP +,6
mu3-1,1,ETP +,6
mu3-1,1,ETP +,6
mu3-1,4,ETP +,6
mu3-1,0,ETP +,6
mu3-1,1,ETP +,6
mu3-1,1,ETP +,6
mu3-1,0,ETP +,6
mu3-1,1,ETP +,6
mu3-1,2,ETP +,6
mu3-1,2,ETP +,6
mu3-1,3,ETP +,6
mu3-1,0,ETP +,6
mu3-1,0,ETP +,6
mu3-1,0,ETP +,6
mu3-1,1,ETP +,6
mu3-1,0,ETP +,6
mu3-1,0,ETP +,6
mu3-1,0,ETP +,6
mu3-1,3,ETP +,6
mu3-1,3,ETP +,6
mu3-1,0,ETP +,6
mu3-1,0,ETP +,6
mu3-1,3,ETP +,6
mu3-1,1,ETP +,6
mu3-1,3,ETP +,6
mu3-1,4,ETP +,6
mu3-1,3,ETP +,6
mu3-1,0,ETP +,6
mu3-1,1,ETP +,6
mu3-1,3,ETP +,6
mu3-1,8,ETP +,6
mu3-1,5,ETP +,6
mu3-1,2,ETP +,6
mu3-1,1,ETP +,6
mu3-1,0,ETP +,6
mu3-2,4,ETP -,0
mu3-2,11,ETP -,0
mu3-2,4,ETP -,0
mu3-2,1,ETP -,0
mu3-2,3,ETP -,0
mu3-2,3,ETP -,0
mu3-2,1,ETP -,0
mu3-2,3,ETP -,0
mu3-2,1,ETP -,0
mu3-2,2,ETP -,0
mu3-2,0,ETP -,0
mu3-2,5,ETP -,0
mu3-2,0,ETP -,0
mu3-2,0,ETP -,0
mu3-2,7,ETP -,0
mu3-2,4,ETP -,0
mu3-2,1,ETP -,0
mu3-2,5,ETP -,0
mu3-2,1,ETP -,0
mu3-2,3,ETP -,0
mu3-2,2,ETP -,0
mu3-2,0,ETP -,0
mu3-2,1,ETP -,0
mu3-2,0,ETP -,0
mu3-2,1,ETP -,0
mu3-2,2,ETP -,0
mu3-2,1,ETP -,0
mu3-2,1,ETP -,0
mu3-2,2,ETP -,0
mu3-2,0,ETP -,0
mu3-2,1,ETP -,0
mu3-2,0,ETP -,0
mu3-2,1,ETP -,0
mu3-2,2,ETP -,0
mu3-2,0,ETP -,0
mu3-2,0,ETP -,0
mu3-2,0,ETP -,0
mu3-2,0,ETP -,0
mu3-2,2,ETP -,0
mu3-2,0,ETP -,0
mu3-2,0,ETP -,0
mu3-2,1,ETP -,0
mu3-2,1,ETP -,0
mu3-2,0,ETP -,0
mu3-2,1,ETP -,0
mu3-2,1,ETP -,0
mu3-2,3,ETP -,0
mu3-2,5,ETP -,0
mu3-2,4,ETP -,0
mu3-2,3,ETP +,0.1
mu3-2,2,ETP +,0.1
mu3-2,4,ETP +,0.1
mu3-2,5,ETP +,0.1
mu3-2,0,ETP +,0.1
mu3-2,2,ETP +,0.1
mu3-2,5,ETP +,0.1
mu3-2,7,ETP +,0.1
mu3-2,3,ETP +,0.1
mu3-2,8,ETP +,0.1
mu3-2,15,ETP +,0.1
mu3-2,20,ETP +,0.1
mu3-2,7,ETP +,0.1
mu3-2,18,ETP +,0.1
mu3-2,4,ETP +,0.1
mu3-2,5,ETP +,0.1
mu3-2,9,ETP +,0.1
mu3-2,12,ETP +,0.1
mu3-2,1,ETP +,0.1
mu3-2,10,ETP +,0.1
mu3-2,5,ETP +,0.1
mu3-2,5,ETP +,0.1
mu3-2,12,ETP +,0.1
mu3-2,5,ETP +,0.1
mu3-2,6,ETP +,0.1
mu3-2,11,ETP +,0.1
mu3-2,6,ETP +,0.1
mu3-2,9,ETP +,0.1
mu3-2,8,ETP +,0.1
mu3-2,1,ETP +,0.1
mu3-2,5,ETP +,0.1
mu3-2,5,ETP +,0.1
mu3-2,2,ETP +,0.1
mu3-2,11,ETP +,0.1
mu3-2,7,ETP +,0.1
mu3-2,6,ETP +,0.1
mu3-2,5,ETP +,0.1
mu3-2,10,ETP +,0.1
mu3-2,12,ETP +,0.1
mu3-2,7,ETP +,0.1
mu3-2,8,ETP +,0.1
mu3-2,2,ETP +,0.1
mu3-2,7,ETP +,0.1
mu3-2,15,ETP +,0.1
mu3-2,4,ETP +,0.1
mu3-2,9,ETP +,0.1
mu3-2,6,ETP +,0.1
mu3-2,4,ETP +,0.1
mu3-2,8,ETP +,0.1
mu3-2,4,ETP +,2
mu3-2,3,ETP +,2
mu3-2,1,ETP +,2
mu3-2,2,ETP +,2
mu3-2,0,ETP +,2
mu3-2,3,ETP +,2
mu3-2,2,ETP +,2
mu3-2,4,ETP +,2
mu3-2,0,ETP +,2
mu3-2,0,ETP +,2
mu3-2,5,ETP +,2
mu3-2,1,ETP +,2
mu3-2,0,ETP +,2
mu3-2,3,ETP +,2
mu3-2,1,ETP +,2
mu3-2,1,ETP +,2
mu3-2,4,ETP +,2
mu3-2,0,ETP +,2
mu3-2,1,ETP +,2
mu3-2,1,ETP +,2
mu3-2,0,ETP +,2
mu3-2,1,ETP +,2
mu3-2,2,ETP +,2
mu3-2,2,ETP +,2
mu3-2,3,ETP +,2
mu3-2,0,ETP +,2
mu3-2,0,ETP +,2
mu3-2,0,ETP +,2
mu3-2,1,ETP +,2
mu3-2,0,ETP +,2
mu3-2,0,ETP +,2
mu3-2,0,ETP +,2
mu3-2,3,ETP +,2
mu3-2,3,ETP +,2
mu3-2,0,ETP +,2
mu3-2,0,ETP +,2
mu3-2,3,ETP +,2
mu3-2,1,ETP +,2
mu3-2,3,ETP +,2
mu3-2,4,ETP +,2
mu3-2,3,ETP +,2
mu3-2,0,ETP +,2
mu3-2,1,ETP +,2
mu3-2,3,ETP +,2
mu3-2,8,ETP +,2
mu3-2,5,ETP +,2
mu3-2,2,ETP +,2
mu3-2,1,ETP +,2
mu3-2,0,ETP +,2
mu3-2,4,ETP +,6
mu3-2,11,ETP +,6
mu3-2,4,ETP +,6
mu3-2,1,ETP +,6
mu3-2,3,ETP +,6
mu3-2,3,ETP +,6
mu3-2,1,ETP +,6
mu3-2,3,ETP +,6
mu3-2,1,ETP +,6
mu3-2,2,ETP +,6
mu3-2,0,ETP +,6
mu3-2,5,ETP +,6
mu3-2,0,ETP +,6
mu3-2,0,ETP +,6
mu3-2,7,ETP +,6
mu3-2,4,ETP +,6
mu3-2,1,ETP +,6
mu3-2,5,ETP +,6
mu3-2,1,ETP +,6
mu3-2,3,ETP +,6
mu3-2,2,ETP +,6
mu3-2,0,ETP +,6
mu3-2,1,ETP +,6
mu3-2,0,ETP +,6
mu3-2,1,ETP +,6
mu3-2,2,ETP +,6
mu3-2,1,ETP +,6
mu3-2,1,ETP +,6
mu3-2,2,ETP +,6
mu3-2,0,ETP +,6
mu3-2,1,ETP +,6
mu3-2,0,ETP +,6
mu3-2,1,ETP +,6
mu3-2,2,ETP +,6
mu3-2,0,ETP +,6
mu3-2,0,ETP +,6
mu3-2,0,ETP +,6
mu3-2,0,ETP +,6
mu3-2,2,ETP +,6
mu3-2,0,ETP +,6
mu3-2,0,ETP +,6
mu3-2,1,ETP +,6
mu3-2,1,ETP +,6
mu3-2,0,ETP +,6
mu3-2,1,ETP +,6
mu3-2,1,ETP +,6
mu3-2,3,ETP +,6
mu3-2,5,ETP +,6
mu3-2,4,ETP +,6
mu1/mu3-2,4,ETP -,0
mu1/mu3-2,11,ETP -,0
mu1/mu3-2,4,ETP -,0
mu1/mu3-2,1,ETP -,0
mu1/mu3-2,3,ETP -,0
mu1/mu3-2,3,ETP -,0
mu1/mu3-2,1,ETP -,0
mu1/mu3-2,3,ETP -,0
mu1/mu3-2,1,ETP -,0
mu1/mu3-2,2,ETP -,0
mu1/mu3-2,0,ETP -,0
mu1/mu3-2,5,ETP -,0
mu1/mu3-2,0,ETP -,0
mu1/mu3-2,0,ETP -,0
mu1/mu3-2,7,ETP -,0
mu1/mu3-2,4,ETP -,0
mu1/mu3-2,1,ETP -,0
mu1/mu3-2,5,ETP -,0
mu1/mu3-2,1,ETP -,0
mu1/mu3-2,3,ETP -,0
mu1/mu3-2,2,ETP -,0
mu1/mu3-2,0,ETP -,0
mu1/mu3-2,1,ETP -,0
mu1/mu3-2,0,ETP -,0
mu1/mu3-2,1,ETP -,0
mu1/mu3-2,2,ETP -,0
mu1/mu3-2,1,ETP -,0
mu1/mu3-2,1,ETP -,0
mu1/mu3-2,2,ETP -,0
mu1/mu3-2,0,ETP -,0
mu1/mu3-2,1,ETP -,0
mu1/mu3-2,0,ETP -,0
mu1/mu3-2,1,ETP -,0
mu1/mu3-2,2,ETP -,0
mu1/mu3-2,0,ETP -,0
mu1/mu3-2,0,ETP -,0
mu1/mu3-2,0,ETP -,0
mu1/mu3-2,0,ETP -,0
mu1/mu3-2,2,ETP -,0
mu1/mu3-2,0,ETP -,0
mu1/mu3-2,0,ETP -,0
mu1/mu3-2,1,ETP -,0
mu1/mu3-2,1,ETP -,0
mu1/mu3-2,0,ETP -,0
mu1/mu3-2,1,ETP -,0
mu1/mu3-2,1,ETP -,0
mu1/mu3-2,3,ETP -,0
mu1/mu3-2,5,ETP -,0
mu1/mu3-2,4,ETP -,0
mu1/mu3-2,3,ETP +,0.1
mu1/mu3-2,2,ETP +,0.1
mu1/mu3-2,4,ETP +,0.1
mu1/mu3-2,5,ETP +,0.1
mu1/mu3-2,0,ETP +,0.1
mu1/mu3-2,2,ETP +,0.1
mu1/mu3-2,5,ETP +,0.1
mu1/mu3-2,7,ETP +,0.1
mu1/mu3-2,3,ETP +,0.1
mu1/mu3-2,8,ETP +,0.1
mu1/mu3-2,15,ETP +,0.1
mu1/mu3-2,20,ETP +,0.1
mu1/mu3-2,7,ETP +,0.1
mu1/mu3-2,18,ETP +,0.1
mu1/mu3-2,4,ETP +,0.1
mu1/mu3-2,5,ETP +,0.1
mu1/mu3-2,9,ETP +,0.1
mu1/mu3-2,12,ETP +,0.1
mu1/mu3-2,1,ETP +,0.1
mu1/mu3-2,10,ETP +,0.1
mu1/mu3-2,5,ETP +,0.1
mu1/mu3-2,5,ETP +,0.1
mu1/mu3-2,12,ETP +,0.1
mu1/mu3-2,5,ETP +,0.1
mu1/mu3-2,6,ETP +,0.1
mu1/mu3-2,11,ETP +,0.1
mu1/mu3-2,6,ETP +,0.1
mu1/mu3-2,9,ETP +,0.1
mu1/mu3-2,8,ETP +,0.1
mu1/mu3-2,1,ETP +,0.1
mu1/mu3-2,5,ETP +,0.1
mu1/mu3-2,5,ETP +,0.1
mu1/mu3-2,2,ETP +,0.1
mu1/mu3-2,11,ETP +,0.1
mu1/mu3-2,7,ETP +,0.1
mu1/mu3-2,6,ETP +,0.1
mu1/mu3-2,5,ETP +,0.1
mu1/mu3-2,10,ETP +,0.1
mu1/mu3-2,12,ETP +,0.1
mu1/mu3-2,7,ETP +,0.1
mu1/mu3-2,8,ETP +,0.1
mu1/mu3-2,2,ETP +,0.1
mu1/mu3-2,7,ETP +,0.1
mu1/mu3-2,15,ETP +,0.1
mu1/mu3-2,4,ETP +,0.1
mu1/mu3-2,9,ETP +,0.1
mu1/mu3-2,6,ETP +,0.1
mu1/mu3-2,4,ETP +,0.1
mu1/mu3-2,8,ETP +,0.1
mu1/mu3-2,4,ETP +,2
mu1/mu3-2,3,ETP +,2
mu1/mu3-2,1,ETP +,2
mu1/mu3-2,2,ETP +,2
mu1/mu3-2,0,ETP +,2
mu1/mu3-2,3,ETP +,2
mu1/mu3-2,2,ETP +,2
mu1/mu3-2,4,ETP +,2
mu1/mu3-2,0,ETP +,2
mu1/mu3-2,0,ETP +,2
mu1/mu3-2,5,ETP +,2
mu1/mu3-2,1,ETP +,2
mu1/mu3-2,0,ETP +,2
mu1/mu3-2,3,ETP +,2
mu1/mu3-2,1,ETP +,2
mu1/mu3-2,1,ETP +,2
mu1/mu3-2,4,ETP +,2
mu1/mu3-2,0,ETP +,2
mu1/mu3-2,1,ETP +,2
mu1/mu3-2,1,ETP +,2
mu1/mu3-2,0,ETP +,2
mu1/mu3-2,1,ETP +,2
mu1/mu3-2,2,ETP +,2
mu1/mu3-2,2,ETP +,2
mu1/mu3-2,3,ETP +,2
mu1/mu3-2,0,ETP +,2
mu1/mu3-2,0,ETP +,2
mu1/mu3-2,0,ETP +,2
mu1/mu3-2,1,ETP +,2
mu1/mu3-2,0,ETP +,2
mu1/mu3-2,0,ETP +,2
mu1/mu3-2,0,ETP +,2
mu1/mu3-2,3,ETP +,2
mu1/mu3-2,3,ETP +,2
mu1/mu3-2,0,ETP +,2
mu1/mu3-2,0,ETP +,2
mu1/mu3-2,3,ETP +,2
mu1/mu3-2,1,ETP +,2
mu1/mu3-2,3,ETP +,2
mu1/mu3-2,4,ETP +,2
mu1/mu3-2,3,ETP +,2
mu1/mu3-2,0,ETP +,2
mu1/mu3-2,1,ETP +,2
mu1/mu3-2,3,ETP +,2
mu1/mu3-2,8,ETP +,2
mu1/mu3-2,5,ETP +,2
mu1/mu3-2,2,ETP +,2
mu1/mu3-2,1,ETP +,2
mu1/mu3-2,0,ETP +,2
mu1/mu3-2,4,ETP +,6
mu1/mu3-2,11,ETP +,6
mu1/mu3-2,4,ETP +,6
mu1/mu3-2,1,ETP +,6
mu1/mu3-2,3,ETP +,6
mu1/mu3-2,3,ETP +,6
mu1/mu3-2,1,ETP +,6
mu1/mu3-2,3,ETP +,6
mu1/mu3-2,1,ETP +,6
mu1/mu3-2,2,ETP +,6
mu1/mu3-2,0,ETP +,6
mu1/mu3-2,5,ETP +,6
mu1/mu3-2,0,ETP +,6
mu1/mu3-2,0,ETP +,6
mu1/mu3-2,7,ETP +,6
mu1/mu3-2,4,ETP +,6
mu1/mu3-2,1,ETP +,6
mu1/mu3-2,5,ETP +,6
mu1/mu3-2,1,ETP +,6
mu1/mu3-2,3,ETP +,6
mu1/mu3-2,2,ETP +,6
mu1/mu3-2,0,ETP +,6
mu1/mu3-2,1,ETP +,6
mu1/mu3-2,0,ETP +,6
mu1/mu3-2,1,ETP +,6
mu1/mu3-2,2,ETP +,6
mu1/mu3-2,1,ETP +,6
mu1/mu3-2,1,ETP +,6
mu1/mu3-2,2,ETP +,6
mu1/mu3-2,0,ETP +,6
mu1/mu3-2,1,ETP +,6
mu1/mu3-2,0,ETP +,6
mu1/mu3-2,1,ETP +,6
mu1/mu3-2,2,ETP +,6
mu1/mu3-2,0,ETP +,6
mu1/mu3-2,0,ETP +,6
mu1/mu3-2,0,ETP +,6
mu1/mu3-2,0,ETP +,6
mu1/mu3-2,2,ETP +,6
mu1/mu3-2,0,ETP +,6
mu1/mu3-2,0,ETP +,6
mu1/mu3-2,1,ETP +,6
mu1/mu3-2,1,ETP +,6
mu1/mu3-2,0,ETP +,6
mu1/mu3-2,1,ETP +,6
mu1/mu3-2,1,ETP +,6
mu1/mu3-2,3,ETP +,6
mu1/mu3-2,5,ETP +,6
mu1/mu3-2,4,ETP +,6
